Sr.No.,Description of Machine,Unit,Cap.,Rate
92, Wet Mix Plant 100 TPH, Hour, 100 TPH, 5029
93, Wet Mix Plant 75 TPH, Hour, 75 TPH, 3773
94, Wet Mix plant 60 TPH, Hour, 60 TPH, 2318
95, Vibrator Electrical, Hour, , 189
96, Vibrator Diesel, Day, , 1197
97, Crane a 80 MT, Hour, 80 MT, 3234
98, Crane 40 MTe capacity, Hour, 40 MT, 2950
99, Cloes Endurence 30 MT, Hour, 30 MT, 2587
100, Cloes Hydra 830- 30 MT, Hour, 30 MT, 2778
101, Voltas Omega -35 cap - 30 MT, Hour, 30 MT, 2085
102, Crane 20 MT capacity, Hour, 20 MT, 2425
103, Crane 15 MT capacity, Hour, 15 MT, 2123
104, Crane 10 MT capacity, Hour, 10 MT, 1408
105, Crane 5 MT capacity, Hour, 5 MT, 705
106, Cranes c 3 MT, Hour, 3 MT, 553
107, Generator 325 KVA, Hour, 325 KVA, 2994
108, Generator 250 KVA, Hour, 250 KVA, 2395
109, Generator a 125 KVA, Hour, 125 kva, 1541
110, Generator a 100 KVA, Hour, 100 kva, 1107
111, Generator b 63 KVA, Hour, 63 kva, 1107
112, Generator 33 KVA, Hour, 33 KVA, 590
113, Generator 41 to 60 KVA, Hour, 41 to 60 kva, 792
114, Generator 31 - 40 Kva, Hour, 31-40 Kva, 590
115, Generator 10 to 20 Kva, Hour, 10 to 20 Kva, 485
116, GSB Plant 50 cum, Hour, 50 Cum, 2186
117, Kerb Casting Machine, Hour, , 659
118, Piling Rig with BanMTite Pump, Hour, , 5658
119, Ripper, Hour, , 31
120, Rotavator, Hour, , 24
121, Truck 5.5 cum per 10 MT, Km, 10 MT, 58
122, Truck 5.5 cum per 10 MT, Hour, 10 MT, 1150
123, Truck 5.5 cum per 10 MT, t.km, 10 MT, 6
124, Air Compressor with pneumatic chisel attachment for cutting hard clay 400 CFM, Hour, CFM, 911
125, Belt conveyor system, Hour, , 150
126, Boat to carry atleast 20 persons, Hour,  659
127, Cold mining machine @ 20 cum per hour, Hour, 180
128, Compressor with guniting equipment along with accessories 260/250 CFM, Hour, CFM, 867
129, Joint cutting machine with 2-3 blades for rigid pavement, Hour, , 1006
130, Jack for lifting 40 MT capacity, Day, 40 MT, 3592
131, Piling ring including double acting pile driving hammer Hydraulic ring, Hour, , 5658
132, Plate Compactor, Hour, , 186
133, Texturing machine for rigid pavement, Hour, , 174
134, Transporter Tata Prima-49 MT, Km, 49 MT, 103
135, Mahindra Transporter - 35 T 2016, Km, 35 MT, 74
136, Mahindra Truxo 25 T, , 25 MT, 67
137, Mack Euclid A.L. Beaver 20 MT, Km, 20 MT, 59
138, Truck Trailor 30 MT capacity, Hour, 30 MT, 1363
